OBJECTID;Codi estació;Carretera;PKI;PKF;Any IMD;Any càlcul;IMD;% Pesants;% Motos;Dies registrats;Nº lectures;IFA;IMD Feiners;IMD Dissabte;IMD Diumenge;Dia punta;Hora punta;Volum punta;Dia 30;Hora 30;Dia 50;Hora 50;Volum 50;Dia 100;Hora 100;Volum 100;Volum 30;Velocitat mitjana;Percentil 85;Volum pesants C1;Volum pesants C2;Volum motos C1;Volum motos C2;PKI Ref;PKI Offset;PKF Ref;PKF Offset
8090;EA00773;N-IIz;572+600;574+650;2023;2024;1547;6.4;5.02;9;1;100;1574;1277;1138;3/19/2023 1:00 a. m.;13;144;3/15/2023 1:00 a. m.;18;3/15/2023 1:00 a. m.;19;101;3/13/2023 1:00 a. m.;11;77;116;64;70_80;62;37;0;0;572;600;574;650
8091;EA00248;BV-2129;0+000;1+526;2024;2024;338;0.8;2.75;15;2;100;370;322;128;11/1/2024 1:00 a. m.;11;62;11/1/2024 1:00 a. m.;16;11/7/2024 1:00 a. m.;9;29;4/11/2024 2:00 a. m.;20;24;32;40;0_40;1;1;0;0;0;0;1;526
8092;EA00688;B-112;0+000;1+450;2023;2024;2229;2.07;2.52;14;2;100;2103;1952;2743;9/17/2023 2:00 a. m.;11;466;2/8/2023 1:00 a. m.;8;9/14/2023 2:00 a. m.;18;155;9/16/2023 2:00 a. m.;18;128;166;41;0_40;27;19;0;0;0;0;1;450
8093;EA00129;BV-1201;5+100;6+870;2023;2024;6179;6.4;3.05;17;2;100;6930;4159;3123;9/15/2023 2:00 a. m.;14;681;1/31/2023 1:00 a. m.;8;9/19/2023 2:00 a. m.;18;506;1/31/2023 1:00 a. m.;16;419;555;70;70_80;209;186;0;0;5;100;6;870
8094;EA00150;BV-1225;2+493;3+465;2023;2024;7782;6.75;1.07;14;2;100;8686;6178;4283;11/13/2023 1:00 a. m.;14;1056;11/10/2023 1:00 a. m.;13;11/15/2023 1:00 a. m.;7;595;2/7/2023 1:00 a. m.;14;499;639;64;70_80;250;275;0;0;2;493;3;465
8095;EA00027;BP-1241;0+000;9+250;2023;2024;267;2.33;25.97;14;2;100;188;231;214;7/23/2023 2:00 a. m.;9;104;7/21/2023 2:00 a. m.;18;7/23/2023 2:00 a. m.;18;20;7/21/2023 2:00 a. m.;14;14;24;43;40_50;3;3;0;0;0;0;9;250
8096;EA00241;BV-2119;0+000;1+370;2024;2024;3576;2.94;1.84;15;2;75;3969;2652;2077;11/7/2024 1:00 a. m.;16;416;10/31/2024 1:00 a. m.;13;11/2/2024 1:00 a. m.;11;267;5/31/2024 2:00 a. m.;15;223;291;44;40_50;41;64;0;0;0;0;1;370
8097;EA00278;BV-2176;0+000;1+000;2024;2024;4275;16.33;3.93;14;2;100;4802;2533;2210;10/15/2024 2:00 a. m.;8;384;10/14/2024 2:00 a. m.;8;6/17/2024 2:00 a. m.;11;324;6/12/2024 2:00 a. m.;16;291;344;57;60_70;316;382;0;0;0;0;1;0
8098;EA00430;BV-5008;2+611;4+600;2023;2024;1227;1.31;4.92;15;2;100;1279;959;810;4/11/2023 2:00 a. m.;8;190;11/10/2023 1:00 a. m.;17;4/16/2023 2:00 a. m.;13;102;4/12/2023 2:00 a. m.;10;75;119;44;40_50;8;8;0;0;2;611;4;600
8099;EA00002;B-102;0+000;1+235;2023;2024;230;15;0.84;14;2;100;249;178;170;7/11/2023 2:00 a. m.;15;33;2/22/2023 1:00 a. m.;8;7/12/2023 2:00 a. m.;9;19;2/27/2023 1:00 a. m.;19;14;21;42;40_50;18;16;0;0;0;0;1;235
8100;EA00472;BV-5119;1+830;7+000;2023;2024;351;4.72;9.23;14;2;75;284;406;407;11/26/2023 1:00 a. m.;11;76;7/20/2023 2:00 a. m.;19;7/16/2023 2:00 a. m.;16;27;7/19/2023 2:00 a. m.;20;22;31;44;50_60;11;5;0;0;1;830;7;0
8101;EA00460;BV-5108;4+560;5+020;2023;2024;5550;1.67;1.27;7;1;100;5948;4721;3894;2/14/2023 1:00 a. m.;8;486;2/10/2023 1:00 a. m.;7;2/8/2023 1:00 a. m.;19;355;2/14/2023 1:00 a. m.;6;203;407;45;50_60;62;30;0;0;4;560;5;20
